time,side,price,quantity
2025-12-30 21:38:54,SELL,88978.28,0.001
2025-12-30 21:39:10,BUY,88978.28,0.001
2025-12-30 21:39:10,SELL,88944.64,0.001
2025-12-30 21:39:26,BUY,88944.64,0.001
2025-12-30 21:39:26,SELL,88984.26,0.001
2025-12-30 21:39:42,BUY,88984.26,0.001
2025-12-30 21:39:42,SELL,88984.25,0.001
2025-12-30 21:39:58,BUY,88965.8,0.001
2025-12-30 21:39:58,SELL,88965.79,0.001
2025-12-30 21:40:14,BUY,89000.0,0.001
2025-12-30 21:40:14,SELL,88999.99,0.001
2025-12-30 21:40:30,BUY,89099.98,0.001
2025-12-30 21:40:30,SELL,89099.98,0.001
2025-12-30 21:40:46,BUY,89115.25,0.001
2025-12-30 21:40:46,SELL,89115.25,0.001
2025-12-30 21:41:02,BUY,89104.72,0.001
2025-12-30 21:41:02,SELL,89104.72,0.001
2025-12-30 21:41:18,BUY,89089.03,0.001
2025-12-30 21:41:18,SELL,89089.03,0.001
2025-12-30 21:41:34,BUY,89127.68,0.001
2025-12-30 21:41:34,SELL,89127.68,0.001
2025-12-30 21:41:50,BUY,89089.43,0.001
2025-12-30 21:41:50,SELL,89089.42,0.001
2025-12-30 21:42:06,BUY,89089.42,0.001
2025-12-30 21:42:06,SELL,89089.42,0.001
2025-12-30 21:42:22,BUY,89035.77,0.001
2025-12-30 21:42:22,SELL,89035.76,0.001
2025-12-30 21:42:38,BUY,89011.53,0.001
2025-12-30 21:42:38,SELL,89011.52,0.001
2025-12-30 21:42:54,BUY,89011.52,0.001
2025-12-30 21:42:54,SELL,88996.1,0.001
2025-12-30 21:43:10,BUY,88996.11,0.001
2025-12-30 21:43:10,SELL,88987.37,0.001
2025-12-30 21:43:27,BUY,88987.37,0.001
2025-12-30 21:43:27,SELL,88950.0,0.001
2025-12-30 21:43:42,BUY,88950.01,0.001
2025-12-30 21:43:42,SELL,88948.53,0.001
2025-12-30 21:43:59,BUY,88948.53,0.001
2025-12-30 21:43:59,SELL,88926.95,0.001
2025-12-30 21:44:15,BUY,88926.96,0.001
2025-12-30 21:44:15,SELL,88936.67,0.001
2025-12-30 21:44:32,BUY,88936.68,0.001
2025-12-30 21:44:32,SELL,88953.35,0.001
